Day of Week,Date,SO #,Time Start,Lunch,Time Finish,Total Hrs.,Reg Hrs,OT Hrs,Confirmation,Aux SO#,Aux Hours,Aux Conf.,Daily Task
Monday,4/1/13,7*128032,9:00,3:30,16:15,3.75,3.75,,9*546051,,,,CIMS
Tuesday,4/2/13,,,,,,,,,,,,
Wednesday,4/3/13,,,,,,,,,,,,
Thursday,4/4/13,,,,,,,,,,,,
Friday,4/5/13,7*128032,8:30,1:00,17:30,8,8,0,9*550986,,,,CIMS
Saturday,4/6/13,,,,,,,,,,,,
Sunday,4/7/13,,,,,,,,,,,,
Monday,4/8/13,,,,,,,,,,,,
Tuesday,4/9/13,7*135812,,,,,,,9*554323,,,,C&M / International Paper Travel
Wednesday,4/10/13,7*135812,7:30,0:30,20:00,12,8,4,9*554205,,,,C&M / International Paper On-Site
Thursday,4/11/13,7*135812,7:00,0:30,22:00,14.5,8,6.5,9*555299,,,,C&M / International Paper On-Site
Friday,4/12/13,7*135812,,,,,,,9*557257,,,,C&M / International Paper On-Site and Travel
Saturday,4/13/13,,,,,,,,,,,,
Sunday,4/14/13,,,,,,,,,,,,
Monday,4/15/13,,,,,,,,,,,,
Tuesday,4/16/13,7*136629,7:15,,16:30,9.25,8,1.25,9*559299,,,,"International Paper / Cayuga, IN"
Wednesday,4/17/13,,,,,,,,,,,,
Thursday,4/18/13,7*128032,15:00,,16:30,1.5,1.5,,9*562422,,,,CIMS
Friday,4/19/13,7*128032,12:00,,16:00,4,4,,9*563428,,,,CIMS
Saturday,4/20/13,,,,,,,,,,,,
Sunday,4/21/13,,,,,,,,,,,,
Monday,4/22/13,7*128032,8:30,,15:30,7,7,,9*565606,,,,CIMS
Tuesday,4/23/13,7*128032,9:00,,13:00,4,4,,9*567575,,,,CIMS
Wednesday,4/24/13,,,,,,,,,,,,
Thursday,4/25/13,7*141291,5:30,,15:30,10,8,2,9*592019,,,,GM Bedford
Friday,4/26/13,,,,,,,,,,,,
Saturday,4/27/13,,,,,,,,,,,,
Sunday,4/28/13,,,,,,,,,,,,
Monday,4/29/13,,,,,,,,,,,,
Tuesday,4/30/13,,,,,,,,,,,,
