Day of Week,Date,SO #,Time Start,Lunch,Time Finish,Total Hrs.,Reg Hrs,OT Hrs,Confirmation,Aux SO#,Aux Hours,Aux Conf.,Daily Task
Friday,2/1/13,,,,,,,,,,,,
Saturday,2/2/13,,,,,,,,,,,,
Sunday,2/3/13,,,,,,,,,,,,
Monday,2/4/13,7*127431,11:15,,18:00,6.75,6.75,,9*491813,,,,Rofin / Electro Motive
Tuesday,2/5/13,7*127431,9:00,0:15,17:15,8,8,0,9*494374,,,,Rofin / Electro Motive
Wednesday,2/6/13,7*127431,9:00,,15:00,6,6,,9*495650,,,,Rofin / Electro Motive
Thursday,2/7/13,,,,,,,,,,,,
Friday,2/8/13,7*128032,13:00,,16:45,3.75,3.75,,9*497385,,,,CIMS Goshen
Saturday,2/9/13,7*128032,13:00,,14:45,1.75,1.75,,9*497833,,,,CIMS Goshen
Sunday,2/10/13,,,,,,,,,,,,
Monday,2/11/13,7*128033,10:00,,12:00,2,2,,9*499163,,,,CIMS Conveyor
Tuesday,2/12/13,7*128032,9:30,,15:45,6.25,6.25,,9*499943,7*128033,3.25,9*500164,CIMS Goshen
Wednesday,2/13/13,,,,,,,,,,,,
Thursday,2/14/13,7*128033,9:15,0:30,15:00,5.25,5.25,,9*502945,,,,CIMS Goshen
Friday,2/15/13,,,,,,,,,,,,
Saturday,2/16/13,,,,,,,,,,,,
Sunday,2/17/13,,,,,,,,,,,,
Monday,2/18/13,7*128032,8:30,,12:30,4,4,,9*505042,,,,CIMS Goshen
Tuesday,2/19/13,,,,,,,,,,,,
Wednesday,2/20/13,7*128033,9:30,,16:30,7,7,,,,,,CIMS Conveyor
Thursday,2/21/13,7*128033,9:30,,15:30,6,6,,,,,,CIMS Conveyor
