Day of Week,Date,SO #,Time Start,Lunch,Time Finish,Total Hrs.,Reg Hrs,OT Hrs,Confirmation,Aux SO#,Aux Hours,Aux Conf.,Daily Task
Tuesday,1/1/13,,,,,,,,,,,,
Wednesday,1/2/13,,,,,,,,,,,,
Thursday,1/3/13,,,,,,,,,,,,
Friday,1/4/13,,,,,,,,,,,,
Saturday,1/5/13,,,,,,,,,,,,
Sunday,1/6/13,,,,,,,,,,,,
Monday,1/7/13,7*123879,8:00,,13:00,5,5,,9*469740,,,,Sabic FTEM setup
Tuesday,1/8/13,,,,,,,,,,,,
Wednesday,1/9/13,7*124019,11:15,,13:45,2.5,2.5,,9*468000,,,,Triumph Fabricators
Thursday,1/10/13,,,,,,,,,,,,
Friday,1/11/13,7*123879,8:00,1:30,17:15,7.75,7.75,,9*469509,,,,Sabic FTEM setup
Saturday,1/12/13,,,,,,,,,,,,
Sunday,1/13/13,,,,,,,,,,,,
Monday,1/14/13,,,,,,,,,,,,
Tuesday,1/15/13,,,,,,,,,,,,
Wednesday,1/16/13,,,,,,,,,,,,
Thursday,1/17/13,,,,,,,,,,,,
Friday,1/18/13,,,,,,,,,,,,
Saturday,1/19/13,,,,,,,,,,,,
Sunday,1/20/13,,,,,,,,,,,,
Monday,1/21/13,,,,,,,,,,,,
Tuesday,1/22/13,,,,,,,,,,,,
Wednesday,1/23/13,7*123879,8:00,,11:45,3.75,3.75,,9*480331,,,,Sabic FTEM setup
Thursday,1/24/13,,,,,,,,,,,,
Friday,1/25/13,,,,,,,,,,,,
Saturday,1/26/13,,,,,,,,,,,,
Sunday,1/27/13,,,,,,,,,,,,
Monday,1/28/13,,,,,,,,,,,,
Tuesday,1/29/13,,,,,,,,,,,,
Wednesday,1/30/13,,,,,,,,,,,,
Thursday,1/31/13,,,,,,,,,,,,
