Day of Week,Date,SO #,Time Start,Lunch,Time Finish,Total Hrs.,Reg Hrs,OT Hrs,Confirmation,Aux SO#,Aux Hours,Aux Conf.,Daily Task
Friday,3/1/13,,,,,,,,,,,,
Saturday,3/2/13,,,,,,,,,,,,
Sunday,3/3/13,,,,,,,,,,,,
Monday,3/4/13,7*128033,9:45,1:00,14:15,3.5,3.5,,9*518437,,,,CIMS Conveyor
Tuesday,3/5/13,7*128033,13:00,,16:00,3,3,,9*520437,,,,CIMS Conveyor
Wednesday,3/6/13,,,,,,,,,,,,
Thursday,3/7/13,7*128033,13:00,,14:30,1.5,1.5,,9*522828,,,,CIMS Conveyor
Friday,3/8/13,7*131246,14:30,,16:30,2,2,,9*524219,,,,CIMS Server Setup
Saturday,3/9/13,,,,,,,,,,,,
Sunday,3/10/13,,,,,,,,,,,,
Monday,3/11/13,7*131246,10:00,1:00,15:00,4,4,,9*525220,,,,CIMS Server Setup
Tuesday,3/12/13,7*131246,8:45,,10:30,1.75,1.75,,9*525679,,,,CIMS Client Setup
Wednesday,3/13/13,,,,,,,,,,,,
Thursday,3/14/13,,,,,,,,,,,,
Friday,3/15/13,,,,,,,,,,,,
Saturday,3/16/13,,,,,,,,,,,,
Sunday,3/17/13,,,,,,,,,,,,
Monday,3/18/13,7*128033,9:30,0:30,14:00,4,4,,9*532293,,,,CIMS Conveyor
Tuesday,3/19/13,7*128033,10:30,,11:30,1,1,,9*533471,7*128032,2,9*533472,CIMS Conveyor
Wednesday,3/20/13,7*127804,7:45,,8:15,0.5,0.5,,9*534025,,,,Temple Inland
Thursday,3/21/13,7*128032,13:45,,14:45,1,1,,9*536057,,,,CIMS
Friday,3/22/13,,,,,,,,,,,,
Saturday,3/23/13,7*134854,7:00,,9:00,2,2,,9*545507,7*134853,7,9*545506,Cummins Drive Flashing
Sunday,3/24/13,,,,,,,,,,,,
Monday,3/25/13,7*132840,,,,,,,9*539675,,,,Nestle Travel and Hotel expense
Tuesday,3/26/13,7*132840,7:00,,11:00,4,4,,9*540782,,,,Nestle PM3K Flash
Wednesday,3/27/13,7*128032,11:30,,16:30,5,5,,9*541899,,,,CIMS finishers
Thursday,3/28/13,7*134853,8:00,1:00,17:00,8,8,0,9*545553,,,,Cummins Drive Flashing
Friday,3/29/13,7*128033,9:00,,11:00,2,2,,9*545548,,,,CIMS Conveyor
Saturday,3/30/13,,,,,,,,,,,,
Sunday,3/31/13,,,,,,,,,,,,
