Day of Week,Date,SO #,Time Start,Lunch,Time Finish,Total Hrs.,Reg Hrs,OT Hrs,Confirmation,Aux SO#,Aux Hours,Aux Conf.,Daily Task
Wednesday,5/1/13,,,,,,,,,,,,
Thursday,5/2/13,,,,,,,,,,,,
Friday,5/3/13,,,,,,,,,,,,
Saturday,5/4/13,,,,,,,,,,,,
Sunday,5/5/13,,,,,,,,,,,,
Monday,5/6/13,7*137485,7:30,,11:30,4,4,,9*579245,,,,Covanta DeviceNet training
Tuesday,5/7/13,7*140196,7:00,,15:00,8,8,0,9*590035,,,,C&M Conveyor - Santa Fe Springs
Wednesday,5/8/13,7*140196,6:00,0:30,18:00,11.5,8,3.5,9*589918,,,,C&M Conveyor - Santa Fe Springs
Thursday,5/9/13,7*140196,6:00,5:00,23:56,12.93,8,4.93,9*589908,,,,C&M Conveyor - Santa Fe Springs
Friday,5/10/13,7*140196,0:01,,9:01,9,8,1,9*589909,,,,C&M Conveyor - Santa Fe Springs
Saturday,5/11/13,,,,,,,,,,,,
Sunday,5/12/13,,,,,,,,,,,,
Monday,5/13/13,7*140730,6:30,0:30,16:30,9.5,8,1.5,9*588745,,,,Argonne - Site Survey
Tuesday,5/14/13,7*140730,7:00,0:30,16:30,9,8,1,9*595176,,,,Argonne - Site Survey
Wednesday,5/15/13,7*140730,7:00,0:30,17:00,9.5,8,1.5,9*590034,,,,Argonne - Site Survey
Thursday,5/16/13,7*141204,12:00,,16:00,4,4,,9*593213,,,,Argonne - Meter programming
Friday,5/17/13,7*141204,8:00,,16:00,8,8,0,9*592122,,,,Argonne - Meter programming
Saturday,5/18/13,,,,,,,,,,,,
Sunday,5/19/13,,,,,,,,,,,,
Monday,5/20/13,7*140730,7:30,1:00,16:30,8,8,0,9*593283,,,,Argonne - Site data documentation
Tuesday,5/21/13,7*128032,8:00,,16:00,8,8,0,9*594855,,,,C&M Conveyor - CIMS
Wednesday,5/22/13,7*141689,7:00,,14:15,7.25,7.25,,9*595588,7*140730,1.75,9*595177,Sabic FTEM / Argonne documentation
Thursday,5/23/13,7*137485,7:30,,10:45,3.25,3.25,,9*597164,7*140730,5.75,9*597763,Covanta DeviceNet / Argonne documentation
Friday,5/24/13,,,,,,,,,,,,
Saturday,5/25/13,,,,,,,,,,,,
Sunday,5/26/13,,,,,,,,,,,,
Monday,5/27/13,,,,,,,,,,,,
Tuesday,5/28/13,,,,,,,,,,,,
Wednesday,5/29/13,,,,,,,,,,,,
Thursday,5/30/13,,,,,,,,,,,,
Friday,5/31/13,,,,,,,,,,,,
